autoconf 2.69-7
automake 1.16.2-1
base 2-2
binutils 2.34-5
bison 3.6.2-1
bspwm 0.9.9-1
cowsay 3.04-2
dhcp 4.4.2-2
dhcpcd 9.1.1-1
fakeroot 1.24-2
feh 3.4.1-1
firefox 77.0.1-1
flex 2.6.4-3
gcc 10.1.0-2
geany 1.36-1
git 2.27.0-1
grub 2:2.04-7
gucharmap 13.0.0-1
htop 2.2.0-3
kitty 0.17.4-1
libtool 2.4.6+42+gb88cebd5-13
linux 5.6.15.arch1-1
linux-firmware 20200519.8ba6fa6-1
lxappearance 0.6.3-2
m4 1.4.18-3
make 4.3-3
man-db 2.9.2-1
mpc 0.33-2
mpd 0.21.23-4
nautilus 3.36.3-1
ncmpcpp 0.8.2-12
neofetch 7.0.0-1
nitrogen 1.6.1-3
oomox 1.12.5.3-3
openssh 8.3p1-1
patch 2.7.6-8
pcmanfm 1.3.1-2
pfetch-git r323.e30fc10-1
picom 8-2
pkgconf 1.7.3-1
polybar 3.4.3-1
python-pillow 6.2.1-1
ranger 1.9.3-1
rofi 1.5.4-1
rxvt-unicode 9.22-9
sudo 1.9.0-1
sxhkd 0.6.1-1
texinfo 6.7-3
ttf-fira-mono 2:3.206-3
ttf-font-awesome 5.13.0-1
tty-clock 2.3-1
vim 8.2.0814-2
wget 1.20.3-3
which 2.21-5
xclip 0.13-3
xdg-user-dirs 0.17-3
xdotool 3.20160805.1-2
xf86-video-vesa 2.4.0-3
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-5
xorg-fonts-75dpi 1.0.3-5
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-server-devel 1.20.8-2
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.3-2
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
yay 9.4.6-2
youtube-dl 2020.05.29-1
